,precision,recall,f1-score,support
Alfalfa,1.0,0.42857142857142855,0.6,7.0
Corn-notill,0.8,0.7557603686635944,0.7772511848341231,217.0
Corn-mintill,0.8349514563106796,0.6231884057971014,0.7136929460580913,138.0
Corn,0.7857142857142857,0.55,0.6470588235294117,40.0
Grass-pasture,0.9473684210526315,0.9,0.9230769230769231,60.0
Grass-trees,0.8859649122807017,0.9805825242718447,0.9308755760368664,103.0
Grass-pasture-mowed,1.0,0.8,0.888888888888889,5.0
Hay-windrowed,0.95,0.9743589743589743,0.9620253164556962,78.0
Oats,1.0,0.6666666666666666,0.8,6.0
Soybean-notill,0.7299270072992701,0.7352941176470589,0.7326007326007326,136.0
Soybean-mintill,0.7928571428571428,0.9073569482288828,0.846251588310038,367.0
Soybean-clean,0.6626506024096386,0.6707317073170732,0.6666666666666667,82.0
Wheat,0.875,0.875,0.875,32.0
Woods,0.9141414141414141,0.9526315789473684,0.9329896907216495,190.0
Buildings-Grass-Trees-Drives,0.6666666666666666,0.5964912280701754,0.6296296296296297,57.0
Stone-Steel-Towers,1.0,0.95,0.9743589743589743,20.0
accuracy,0.8218465539661899,0.8218465539661899,0.8218465539661899,0.8218465539661899
macro avg,0.8653276192957768,0.7729146217837606,0.8062729338229807,1538.0
weighted avg,0.8223154916341004,0.8218465539661899,0.8181414267060673,1538.0
