,precision,recall,f1-score,support
Alfalfa,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Corn-notill,0.8776595744680851,0.7603686635944701,0.8148148148148148,217.0
Corn-mintill,0.8709677419354839,0.782608695652174,0.8244274809160306,138.0
Corn,0.7804878048780488,0.8,0.7901234567901235,40.0
Grass-pasture,0.9344262295081968,0.95,0.9421487603305784,60.0
Grass-trees,0.9439252336448598,0.9805825242718447,0.9619047619047619,103.0
Grass-pasture-mowed,1.0,0.8,0.888888888888889,5.0
Hay-windrowed,1.0,1.0,1.0,78.0
Oats,0.5555555555555556,0.8333333333333334,0.6666666666666667,6.0
Soybean-notill,0.7006369426751592,0.8088235294117647,0.750853242320819,136.0
Soybean-mintill,0.8422459893048129,0.8583106267029973,0.8502024291497976,367.0
Soybean-clean,0.75,0.8414634146341463,0.7931034482758621,82.0
Wheat,0.96875,0.96875,0.96875,32.0
Woods,0.91,0.9578947368421052,0.9333333333333333,190.0
Buildings-Grass-Trees-Drives,0.75,0.5789473684210527,0.6534653465346535,57.0
Stone-Steel-Towers,1.0,1.0,1.0,20.0
accuracy,0.8556566970091027,0.8556566970091027,0.8556566970091027,0.8556566970091027
macro avg,0.8588623705695662,0.8611391093754216,0.8559890929418241,1538.0
weighted avg,0.8582765258060643,0.8556566970091027,0.8550038877056814,1538.0
